https://api-na-adrv2.padsv.gungho.jp/api.php?action=clear_dungeon;pid;sid;hash;tmd;nxc;;dung;floor;v;c;r;m;key;e_key;e_chksum;ss;;;s;e1;e2;e3;e4;e5;e6;e7;e8;e9;e10;e11;e12;e13;e14;e15;e16;e17;e18;e19;sm;cm
11;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c7cff924;429ffc7c;10;1;2;215;1300;0;45BEDA44;B8;F9;207f6d5e;10:33:02;0:00:05;349706;1e484144;9c532a54;b4e8233f;c0150a8f;1d070471;cea9c07d;2c10a250;9037cb8f;1a6b9d8b;8c7df6c7;159757ac;d045c6e0;d80c945e;8ea9ece5;e2d28bbf;9a0969d0;b4e184d1;fb571e3;1c37e621;da44a24f;0
12;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;d732766b;b667237d;10;1;2;215;1300;0;082DD200;62;FB;207f6d63;10:33:07;0:00:05;349706;67270eb1;1ec8d074;4f0e466d;c8201a31;6ceab007;94e1a97d;eef34f49;69c2a8d6;c413aec;4e54ec6a;93f618ea;9e16c7d5;432c8cce;3e372841;8d9d13d4;642921b7;45153628;4796c1aa;4b98cb5e;da44a244;0
13;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b36c50b0;0b05c63b;10;1;2;215;1300;0;B97CCC33;4A;EA;207f6d68;10:33:12;0:00:05;349706;b007dbe2;a13c7694;e93469a2;d02bebda;bccc5d95;5b19927d;b1d5fc3e;434c861d;fe17d84c;102cc38e;1256da28;6be7c4da;ae4c853e;edc5639e;38689be8;2e48d99d;d549e77e;7e775175;7af9b09b;da44a241;0
14;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;f943c630;036c349f;10;1;2;215;1300;0;AE09B711;48;36;207f6d6d;10:33:17;0:00:05;349706;f8e6a8cf;23b11cb7;835b8cd0;d835f48f;cae092b;21517b7d;74b7a937;1cd66363;efee75ad;d2043931;90b69b66;39b8c5c3;196c7dae;9d529efa;e33323fc;f8689184;657d98d4;b650213f;aa5a95d8;da44a25e;0
15;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;7ff18603;30681ff7;10;1;2;215;1300;0;53E7AA11;70;0E;207f6d72;10:33:22;0:00:05;349706;41c67638;a626c2d7;1d81b006;e040c431;5c90b6be;e789647d;3799562c;f66040aa;e1c4130e;93dc1f55;f155ca4;789c2dc;848c761e;4ce0da57;8dfeac11;c287496a;f5b24a2a;ee31b086;d9bb7b15;da44a25b;0
16;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;aff07e19;91e70ffa;10;1;2;215;1300;0;A13CCB11;DA;77;207f6d7b;10:33:31;0:00:09;349706;91bf4df3;2a912108;662d22c5;55209562;ec5b1ebe;19216e29;2ffd271f;7df39bc2;61df6188;f0c9897d;f28eebad;ad35f587;abc69ba4;22797864;f49f6dcf;618d2e09;2c7622f8;208c134a;c89c4ae9;da44a26c;0
17;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;615c08d5;5d80c516;10;1;2;215;1300;0;68BCCD55;61;09;207f6d80;10:33:36;0:00:05;349706;da9e1adc;ad06c728;53467b;5d2b6617;3c3dca4c;df595729;f2e0d414;577d7909;53b6fee9;b2a0ece0;70eeaceb;7b06f284;16e69414;d206b3c1;9f6af5e3;2bade5ef;bcaad44e;576de315;f7fd3026;da44a269;0
18;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;481f3915;5193f184;10;1;2;215;1300;0;B16BC8BB;07;41;207f6d85;10:33:41;0:00:05;349706;237ee80e;2f7b6d4b;9a7a69a8;653577b8;8c2077c3;a5914029;b5c2810d;3108564f;458c9c4a;7478c204;ef4d6e29;48d7f3b1;82068c84;8194ef1d;4a357df7;f5cc9dd6;4cde85a4;8f4e72dc;275e1563;da44a266;0
19;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;315d10bf;fb01d513;10;1;2;215;1300;0;090FE266;27;60;207f6d8a;10:33:46;0:00:05;349706;6c5db57b;b1ef136b;34a08cde;6d404762;dc022351;6bc92929;78a42e02;a923396;376239aa;365039af;6dad2f66;16a8f0ba;ed2684f4;31222a7a;f500060c;bfec55bc;dd1236fa;c72fc2a7;56bffaa0;da44a263;0
20;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;970e54c3;3c45e079;10;1;2;215;1300;0;B009B711;4B;98;207f6d8f;10:33:51;0:00:05;349706;b53d82a4;3464b98a;cec6b00c;754a5017;2be4c8e7;32011229;3b86dafa;e41c10dc;2939d70b;f8281fd3;ec0cf0a4;e479f1bb;58477d65;e0b065d7;9fcb8e20;8a0b0da2;6d47e850;ff08526e;8620dfdd;da44a278;0
21;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;5941b65c;c56b1495;10;1;2;215;1300;0;9D459E55;6D;2E;207f6d94;10:33:56;0:00:05;349706;fe1c4f91;b6d95faa;68edd341;7d5521b8;7bc67475;f839fb29;fe6987f3;bda6ee23;1b0f746b;ba007577;6a6cb1e2;b24aeeb0;c36775d5;903da133;4a961634;542bc589;fd7b99a6;37e92228;b580c51a;da44a275;0
22;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b36c50b0;0b05c63b;10;1;2;215;1300;0;F8949500;56;45;207f6d99;10:34:01;0:00:05;349706;46fc1cc2;394e05d5;313f6f7;85603162;cba9200b;be71e429;c14b34e8;9731cb69;ce511cc;7bd8689a;e8cc7320;801befbd;2e876e45;3fcbdc90;f5619e49;1e4a7d6f;8daf4afc;6fcab1f3;e4e1aa56;da44a272;0
23;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8f34024a;a42043f8;10;1;2;215;1300;0;10D6A799;8F;9E;207f6d9e;10:34:06;0:00:05;349706;8fdcea2f;bbc2abf5;9d3a1a25;8d6a0217;1b8bcd99;84a9cd29;842de1e1;70bba8b0;febcaf2d;3db04e3e;672b345e;4dedec3e;99a766b5;ef5917ec;a02c265d;e86a3556;1de3fc52;a7a401ba;14428f93;da44a28f;0
24;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+f0bbffa;affbb0f+;10;1;2;215;1300;0;0CE394BB;00;A2;207f6da3;10:34:11;0:00:05;349706;d8bbb718;3e375214;37603d5b;957513b8;6b6d792c;4ae1b629;470f8ed6;4a4585f7;f0924c8d;ff8ba5a1;e58bf59c;1bbeed3f;4c75f25;9ee65349;4af6ae71;b289ed3c;ae17ada8;df859105;43a374d0;da44a284;0
25;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2c7365d3;3d5637c2;10;1;2;215;1300;0;957CCC33;56;44;207f6da8;10:34:16;0:00:05;349706;219b8445;c0acf834;d1866088;9d7fe362;bb5026a2;11199f29;9f23bce;23d0633d;e268e9ee;c1639bc5;63eab6da;e98fea3c;6fe75795;4e748ea5;f5c13686;7ca9a522;3e4c5efe;166660cf;73045a0d;da44a281;0
26;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;17369713;31796371;10;1;2;215;1300;0;04BEDA44;E9;0F;207f6dad;10:34:21;0:00:05;349706;6a7a51b6;43209e57;6bad843e;a58aec17;b32d230;d7518829;ccd4e8c7;fd5a4084;d43e874f;833bf168;e24a7818;b760eb39;db075005;fe02ca02;a08cbe9a;46c85d09;ce801054;4e47f096;a2653f4a;da44a29e;0
27;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;aff07e19;91e70ffa;10;1;2;215;1300;0;777CCC33;97;A8;207f6db2;10:34:26;0:00:05;349706;b35a1ee3;c5954477;5d3a76c;ad95fdb9;5b147fc6;9d897129;8fb695bc;d6e41dca;c61524af;4513d48c;60aa3956;8531e83d;46274875;ad90055f;4b5746ae;10e814ef;5eb4c1aa;86204051;d1c52487;da44a294;0
28;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8f34024a;a42043f8;10;1;2;215;1300;0;54239155;D6;8D;207f6db7;10:34:31;0:00:05;349706;fc39ebcc;480aea96;9ffacaa2;b59fcd62;aaf62b54;63c15a29;529842b5;b06efb11;b7ebc210;6ebca37;df09fa94;5302e902;b14840e2;5d1d40bb;f622cec3;db07ccd6;eee87300;be01d018;12609c4;da44a291;0
29;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e1444a25;52a4441e;10;1;2;215;1300;0;CFBEDDCC;95;45;207f6dbc;10:34:36;0:00:05;349706;4519b939;ca7e90b6;3a20edd7;bdaade17;fad9d0ea;29f94329;157befaa;89f9d857;a9c15f70;c8c3205b;5d69bbd2;20d3e63b;1c683952;cab7c18;a0ed56d7;a52784bc;7f1c2457;f6e3a7e3;3087ef01;da44a2ae;0
30;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;a140297d;d792041a;10;1;2;215;1300;0;1EC18333;80;23;207f6dc1;10:34:41;0:00:05;349706;8df8866a;4cf336d1;d4471105;c5b5afb9;4abb7c78;f0312c26;d85d9ca2;6383b59e;9b98fcd1;8a9b07fe;dbc87d0f;eea4e734;878831c2;bc39b774;4bb8deeb;6f473ca2;f50d5ad;2ebc37ad;5fe8d43e;da44a2ab;0
31;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+fce6d45;54d6ecf+;10;1;2;215;1300;0;FA307D77;36;22;207f6dc6;10:34:46;0:00:05;349706;d6d85357;cf68dcf1;6e6d34bb;cdbfbf62;9a9d280f;b6691526;9b3f499b;3d0d92e4;8d6e9a32;4c727d62;5a283e4d;bc75e421;f2a82a32;6bc6f2d1;f6836700;3966f489;9f858703;669d8774;8f49b97b;da44a2a0;0
32;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;37306597;79560373;10;1;2;215;1300;0;A10BC788;9A;FB;207f6dcc;10:34:52;0:00:06;349706;617ee366;d25a711e;f4352b8d;70ffd831;fa7ac6a0;d779c67a;eb827f8e;421acf9f;e2d623d9;350e33a4;f1cef2fe;803db091;cceedfd;a4d706da;90433d7e;f8bf379d;195dc237;dcdeebfc;2e8a995d;da44a2bd;0
33;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;947c2d18;81d2c749;10;1;2;215;1300;0;8B25A1CC;05;BD;207f6dd1;10:34:57;0:00:05;349706;aa5db053;54cf1739;8e5b4ec2;790aa9db;4a5c7237;9db1af7b;ae642c86;1ba4ace6;d4acc13a;f6e929c8;702db43c;4e0eb1ac;77efe66d;54644236;3b0ec593;c2dfef84;a991738d;14bf7b47;5deb7e9a;da44a2ba;0
34;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2a2c6832;2386c2a2;10;1;2;215;1300;0;0CA186AA;6F;08;207f6dd6;10:35:02;0:00:05;349706;f33d7dbc;d743bd59;28817270;8114ba8c;9a3e1fc5;63e8987b;7146d97f;f52e8a2c;c6825e9a;b8c10f73;ee8d757a;1bdfaeaf;e30fdedd;3f27d93;e5d94da7;8cfea76a;39c524e3;4c99cb0e;8d4b63d7;da44a2b7;0
35;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;8f34024a;a42043f8;10;1;2;215;1300;0;C51CCE88;B9;26;207f6ddb;10:35:07;0:00:05;349706;3c1c4ae9;59b86378;c2a895a6;891f8a31;ea21cb5b;2a20817b;34298674;ceb86773;b859fbfb;7a996297;6ced36b8;e9b0afce;4e2fd74d;b380b8f0;90a4d5bb;571e5f50;c9f9d639;837a5ac9;bcac4914;da44a2cc;0
36;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;27cde950;059edc72;10;1;2;215;1300;0;D909BA99;2F;9C;207f6de0;10:35:12;0:00:05;349706;84fc17da;dc2d0998;5cceb8d4;912a9bdb;3a0370e9;f0586a7b;f70b336d;a84344ba;aa2f995b;3c71583a;eb4cf7f6;b781accd;b94fcfbd;630ef44c;3b6f5dd0;213d1737;5a2d878f;bb5b2a93;ec0d2e51;da44a2c9;0
37;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;75bfb149;941bfb57;10;1;2;215;1300;0;ED618488;9C;3D;207f6de5;10:35:17;0:00:05;349706;cddbe507;5ea2afbb;f6f5dc09;9934648c;89e51c7f;b690537b;b9ede062;81cd2200;9c0536bc;fe49be5e;69acb934;8552adc8;246fc82d;129b2fa9;e63ae5e4;eb5dcf1d;ea6238e5;f334ba5a;1b6e138e;da44a2c6;0
38;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;9945d704;407d5499;10;1;2;215;1300;0;9F0393CC;DF;33;207f6dea;10:35:22;0:00:05;349706;16bbb270;e11655db;911bffbf;a13f7431;d9c7c80d;7cc83c7b;7ccf8d5a;5b57ff47;8ddcd41d;c02195c1;e80b7a72;5324ab33;8f8fc09d;c2296b05;91056df8;b57c8704;7a96ea3b;2b150a25;4acff8cb;da44a2c3;0
39;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;+227c395;593c722+;10;1;2;215;1300;0;04E393BB;66;9A;207f6def;10:35:27;0:00:05;349706;5f9a7f5d;638bfbfb;2b4222ed;a94a45db;29aa7583;4300257b;3fb23a53;34e2dc8d;7fb2717d;81f98b65;666b3baf;20f5a822;faafb90d;71b7a662;3bd0f60c;7f9c3eea;aca9b91;63f699ec;7a30de08;da44a2d8;0
40;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2814e6f1;1f6e4182;10;1;2;215;1300;0;B1418477;8E;2F;207f6df4;10:35:32;0:00:05;349706;a87a4c8e;e600a21a;c5684622;b154568c;798c2116;9380e7b;294e748;e6cb9d4;71880ede;43d0ee89;e4cbfced;eec6a929;65cfb17a;2144e1bf;e69b7e21;49bbf6d0;9afe4ce7;9bd069b7;a990c345;da44a2d5;0
41;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;2814e6f1;1f6e4182;10;1;2;215;1300;0;84A59C00;77;53;207f6df9;10:35:37;0:00:05;349706;f15919fb;6874483a;5f8e6950;b95f2631;c96ecea4;cf70f77b;c5769441;e7f6971a;635fac3f;5a8c42c;632abe2b;bc97a634;d0efa9ea;d0d21d1b;91660635;13dbaeb7;2b32fe3d;d3b1f971;d8f1a882;da44a2d2;0
42;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;3ae3ba6f;f6ab3ea3;10;1;2;215;1300;0;0727AFBB;69;D3;207f6dfe;10:35:42;0:00:05;349706;3a39e724;eae9ee65;f9b58c86;c16937db;19517a3a;95a8e07b;88584136;c1807461;5535499f;c7803a50;e18a7f69;8a68a706;3c10a25a;80605878;3c318e49;ddfb669d;bb67af93;b924938;8528dbf;da44a2ef;0
43;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;e22df511;115fd22e;10;1;2;215;1300;0;3FD080CC;20;54;207f6e03;10:35:47;0:00:05;349706;8318b416;6d5e9485;93dbb034;c974008c;693327c8;5be0c97b;4b3aee2e;9b0b51a7;470be700;895811fb;5fe940a7;5839a437;a7309aca;2fed93d4;e6fc165e;a81a1e84;4b9b60e9;4273d883;37b372fb;da44a2e4;0
44;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;ff371b08;80b173ff;10;1;2;215;1300;0;055ABF33;FD;EE;207f6e08;10:35:52;0:00:05;349706;cbf88143;efd23aa4;2e02d369;d17f1031;b915d35e;2218b27b;e1d9b27;74952eee;38e28460;4b30771f;de4901e5;260aa534;1250933a;df7bcf31;91c79e72;723ad66a;dbcf123f;7a4ca84a;67145838;da44a2e1;0
45;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;63938a16;61a83936;10;1;2;215;1300;0;B5FCCD77;FD;2F;207f6e0d;10:35:57;0:00:05;349706;14d84eac;7247e0c4;c828f69f;d989e1db;8f878ec;e8509b7b;d0ff481c;4e1f0c34;2ab821c1;d086a82;5ca9c323;f3dba221;7d708baa;8f090a8e;3c922686;3c598e50;6c03c395;b22d3815;96753d75;da44a2fe;0
46;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;36853a8d;d8a35863;10;1;2;215;1300;0;ADD49622;68;31;207f6e12;10:36:02;0:00:05;349706;5db71b99;f4bc86e7;624e19cd;e194f28c;58da2463;ae88847b;93e1f515;27aae97b;1c8ebf22;cee04026;db088461;c1aca33a;e890841a;3e9745ea;e75dae9b;6794637;fc3774eb;ea0e8fdf;c5d522b2;da44a2fb;0
47;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;647d3502;2053d746;10;1;2;215;1300;0;62FABD00;4D;3D;207f6e17;10:36:07;0:00:05;349706;a697e8ca;77302d07;fc753d03;e99ec236;a8bcd1f1;74c06d7b;56c3a20d;134c6c2;e655c82;90bba649;5968459f;8f7da03b;53b07c8b;ee248147;922836af;d098fe1d;8c6b2642;22e81fa6;f53607ef;da44a2f0;0
48;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;b2e125a6;6a521e2b;10;1;2;215;1300;0;B0128A55;DB;BD;207f6e1c;10:36:12;0:00:05;349706;ef76b637;f9a5d326;969b60b0;f1a9d3db;f89e7d87;3af8567b;19a64f02;dabea408;3bf9e3;52939ded;d7c706dd;5d4ea2c0;bed074fb;9db2bca3;3cf3bec3;9ab8b604;1ca0d798;5ac9ef61;2497ed2c;da44a10d;0
49;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;df0cc8e4;4e8cc0fd;10;1;2;215;1300;0;FD9EDDBB;30;73;207f6e21;10:36:17;0:00:05;349706;38568360;7c1a7946;30c283e6;f9b4dc8c;48812915;1303f7b;dc88fbfb;b448814f;f2119744;146bf310;5627c81b;2b209dbd;29f06d6b;4d40f800;e7be46d8;64d76dea;acd488ee;92aa7f28;53f8d269;da44a10a;0
50;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;c223a1ed;de1a322c;10;1;2;215;1300;0;E469B844;0C;E4;207f6e26;10:36:22;0:00:05;349706;8135504d;fe8e1f61;cae8a714;1beac36;9863d6ab;c7682878;9f6aa8f0;8dd35e95;e3e734a4;d643d6b4;d4868958;f8f19cbe;951065db;fccd335c;9289ceec;2ef725d0;3d083a44;ca8bcef3;8359b7a6;da44a107;0
51;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;901dad36;63dad109;10;1;2;215;1300;0;5B6DD6AA;98;CF;207f6e2b;10:36:27;0:00:05;349706;ca151dbe;8103c581;650eca49;9c9bddb;e8458239;8da01178;624c55e9;675d3bdc;d5bed205;981bccdf;52e64a96;c6c29fbf;315e4b;ac5b6eb9;3d545700;f916ddb7;cd3ceb9a;1645ebd;b2ba9ce3;da44a11c;0
52;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;72fd04fe;ef40df27;10;1;2;215;1300;0;C46BC533;10;78;207f6e30;10:36:32;0:00:05;349706;12f4eaeb;3786ba0;ff35edff;11d48e8c;38282fcf;53d8fa78;252f02e1;40e71922;c7946f65;59f32243;d1460bd4;94939ebc;6b5156bb;5be9aa16;e81fdf15;c336959d;5d709cf0;39452e04;e21a8220;da44a119;0
53;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;aae6d32d;d23d6eaa;10;1;2;215;1300;0;A896A677;B9;77;207f6e35;10:36:37;0:00:05;349706;5bd4b7d4;85ec11c0;995b112d;19de9e36;880adb42;1a10e378;e811afd6;1a72f669;b96a0cc6;1bcb19e6;4fa5cd12;626499b9;d6714f2b;b77e572;92ea6729;8d554d84;eda44e46;7127bdcf;117b675d;da44a116;0
54;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;ff371b08;80b173ff;10;1;2;215;1300;0;5FA38F11;4E;A5;207f6e3a;10:36:42;0:00:05;349706;a4b38501;861b7e3;33823463;21e96fdb;d7ec80d0;e048cc78;aaf35ccf;f3fcd3af;ab41aa27;dda27f0a;ce058e50;30359882;4191479b;bb0420cf;3db5ef3d;5775056a;7dd9ff9c;a9000d96;40dc4c9a;da44a113;0
55;343715919;nS2pa94EtnqCdvJhEwFcvaUDNJdAG96uO3tMp_ie;5acfa595028e8;29956;30d1e5b5;5b5e1d03;10;1;2;215;1300;0;2.93E+81;06;AD;207f6e3f;10:36:47;0:00:05;349706;ed935272;8ad65e03;cda85790;29f3788c;27ce2c66;a680b578;6dd509c4;cd86b0f6;9d174787;9f7a52ad;4c644f8e;fe069bb2;acb14008;6a925c2b;e87f7751;2194bd50;e0db0f2;e1e19d50;703d31d6;da44a129;0
